INFO 2025-03-03 21:25:27,027 autoreload Watching for file changes with StatReloader
INFO 2025-03-03 21:32:38,798 basehttp "GET /manage/sections/?model=DocType HTTP/1.1" 200 18159
INFO 2025-03-03 21:32:39,111 basehttp "GET /manage/sections/?model=ComType HTTP/1.1" 200 18176
INFO 2025-03-03 21:32:39,408 basehttp "GET /manage/sections/?model=Government HTTP/1.1" 200 19248
INFO 2025-03-03 21:32:39,799 basehttp "GET /decrees/ HTTP/1.1" 200 57480
INFO 2025-03-03 21:32:40,308 basehttp "GET /decrees/add/ HTTP/1.1" 200 31364
INFO 2025-03-03 21:32:41,623 basehttp "GET /formplus/ HTTP/1.1" 200 25095
INFO 2025-03-03 21:32:43,003 basehttp "GET /formplus/add/ HTTP/1.1" 200 14628
INFO 2025-03-03 21:32:44,785 basehttp "GET /formplus/download_p/4/ HTTP/1.1" 200 167180
INFO 2025-03-03 21:32:48,743 basehttp "GET /formplus/detail/4/ HTTP/1.1" 200 13113
INFO 2025-03-03 21:32:48,802 basehttp "GET /static/pdfjs/build/pdf.mjs HTTP/1.1" 304 0
INFO 2025-03-03 21:32:48,839 basehttp "GET /static/pdfjs/build/pdf.worker.mjs HTTP/1.1" 304 0
INFO 2025-03-03 21:32:48,960 basehttp "GET /media/formplus/1e8378e6344646ddbbbb26ffab5eb5f2.pdf HTTP/1.1" 304 0
INFO 2025-03-03 21:32:50,824 basehttp "GET /formplus/edit/4/ HTTP/1.1" 200 15521
INFO 2025-03-03 21:32:52,805 basehttp "GET /formplus/detail/4/ HTTP/1.1" 200 13113
INFO 2025-03-03 21:32:54,417 basehttp "GET /objections/ HTTP/1.1" 200 37763
INFO 2025-03-03 21:32:56,887 basehttp "GET /objections/detail/4/ HTTP/1.1" 200 22527
INFO 2025-03-03 21:32:57,070 basehttp "GET /media/objection/5d166ff5892d43f98150b0f08d34984a.pdf HTTP/1.1" 304 0
INFO 2025-03-03 21:33:00,994 basehttp "GET /objections/detail/3/ HTTP/1.1" 200 21844
INFO 2025-03-03 21:33:03,315 basehttp "GET /publications/ HTTP/1.1" 200 41303
